品目,分別区分,出し方,出し方・分け方のアドバイス,,,
空気ポンプ,粗大ごみ,,収集日に指定場所へ直接持込み,,,
クーラーボックス,粗大ごみ,,収集日に指定場所へ直接持込み,,,
釘,不燃ごみ,指定袋,容器（不燃ごみのもの）に入れる。指定袋に入れて収集場所へ,,,
釘抜き,不燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
草花,収集不可,,自家処理をお願いします,,,
草刈機,収集不可,,販売店または処理業者へ,,,
くし（櫛） 木製,可燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
くし（櫛） その他,不燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
串 木製,可燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
串 その他,不燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
クッション,粗大ごみ,,収集日に指定場所へ直接持込み,,,
口紅,不燃ごみ,指定袋,中身を使い切って出す。指定袋に入れて収集場所へ,,,
靴（シューズ）,可燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
熊手 木製,可燃ごみ,指定袋,指定袋に入れて収集場所へ（入らないものは粗大ごみへ）,,,
熊手 金属製,不燃ごみ,指定袋,指定袋に入れて収集場所へ（入らないものは粗大ごみへ）,,,
クリスマスツリー 木製,可燃ごみ,指定袋,指定袋に入れて収集場所へ（入らないものは粗大ごみへ）,,,
クリスマスツリー プラスチック製,不燃ごみ,指定袋,指定袋に入れて収集場所へ（入らないものは粗大ごみへ）,,,
クレヨン,可燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
グローランプ,不燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
グローブ（野球用）,可燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
軍手,可燃ごみ,指定袋,指定袋に入れて収集場所へ,,,
